discrete result,discrete valid,random result,window size
32,True,47,30
31,True,49,30
29,True,41,30
29,True,33,30
29,True,48,30
29,True,42,30
29,True,50,30
29,True,34,30
29,True,33,30
29,True,41,30
29,True,40,30
29,True,38,30
29,True,48,30
29,True,33,30
29,True,37,30
29,True,32,30
29,True,44,30
29,True,30,30
28,True,41,30
29,True,36,30
29,True,30,30
29,True,35,30
29,True,44,30
29,True,52,30
29,True,42,30
29,True,29,30
29,True,38,30
29,True,39,30
29,True,48,30
29,True,38,30
29,True,32,30
28,True,44,30
37,True,52,40
42,True,58,40
35,True,45,40
35,True,51,40
35,True,49,40
35,True,51,40
35,True,50,40
35,True,45,40
35,True,57,40
35,True,43,40
35,True,47,40
35,True,47,40
35,True,52,40
35,True,44,40
35,True,41,40
35,True,45,40
35,True,45,40
35,True,48,40
35,True,50,40
35,True,48,40
35,True,49,40
35,True,50,40
35,True,47,40
35,True,41,40
37,True,47,40
37,True,51,40
37,True,45,40
37,True,44,40
37,True,56,40
45,True,66,50
45,True,71,50
45,True,64,50
45,True,68,50
45,True,58,50
45,True,74,50
45,True,72,50
45,True,68,50
45,True,64,50
45,True,57,50
45,True,59,50
45,True,48,50
45,True,67,50
44,True,57,50
45,True,60,50
45,True,60,50
45,True,59,50
46,True,66,50
45,True,75,50
45,True,77,50
45,True,57,50
45,True,56,50
45,True,58,50
45,True,66,50
45,True,80,50
45,True,57,50
45,True,60,50
44,True,52,50
44,True,61,50
20,True,25,20
20,True,28,20
21,True,28,20
19,True,28,20
19,True,20,20
19,True,32,20
19,True,21,20
19,True,23,20
19,True,20,20
19,True,28,20
19,True,20,20
19,True,28,20
19,True,28,20
19,True,32,20
19,True,31,20
19,True,28,20
19,True,31,20
19,True,23,20
19,True,31,20
19,True,28,20
19,True,33,20
19,True,20,20
19,True,25,20
19,True,25,20
19,True,24,20
19,True,32,20
19,True,20,20
19,True,23,20
19,True,26,20
19,True,20,20
19,True,33,20
19,True,20,20
19,True,24,20
19,True,28,20
19,True,20,20
19,True,20,20
19,True,32,20
19,True,20,20
19,True,20,20
19,True,20,20
19,True,25,20
19,True,33,20
19,True,30,20
19,True,26,20
15,False,28,20
19,True,28,20
19,True,33,20
19,True,20,20
19,True,27,20
19,True,20,20
19,True,30,20
